Number of Breast Cancer Patients with HCPCS in NCH and Outpatient by claim year																							
In order to ensure confidentiality cell sizes less than 11 are masked (#).																							
HCPCS	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018			
00810	971	1610	2864	4644	6595	8464	10556	11926	13184	14179	14583	16640	17675	19536	20835	20851	22059	23366	23575	#			
00811	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	13353			
00812	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	6592			
00813	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	5441			
00818	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00820	34	57	81	112	72	52	23	#	15	22	12	#	11	#	#	11	17	#	16	21			
00825	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00830	216	273	298	313	308	344	338	344	362	311	367	350	309	363	314	350	293	307	291	242			
00832	268	326	327	402	314	320	347	305	296	275	261	310	256	245	253	212	240	196	172	169			
00834	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00836	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00840	1625	1822	2166	2496	2368	2527	2360	2134	2217	2302	2147	2317	2391	2414	2464	2421	2504	2595	2486	2372			
00842	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00844	30	34	26	30	38	37	40	51	45	53	54	29	44	29	21	18	31	23	33	23			
00846	53	54	53	79	92	112	108	123	132	185	165	167	151	181	182	165	180	185	167	144			
00848	#	#	#	#	#	#	#	#	#	#	#	#	11	#	#	#	11	#	#	#			
00850	13	15	20	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
00851	#	#	#	#	13	20	17	24	11	#	14	#	#	#	#	#	#	#	#	#			
00855	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#			
